nodes_x,nodes_y,E,nu,v1,v2,smoothing_pow,convergence_factor,actual_convergence
32,32,.1,.2,1,1,.82827934705871161397,1.159127000033598,0.7232538485275342
256,256,.1,.2,1,1,.82827934705871161397,1.159127000033598,0.725666265754819
32,32,.1,.4,1,1,.84920754706769769623,1.0313155545553276,0.7529746697536601
256,256,.1,.4,1,1,.84920754706769769623,1.0313155545553276,0.7549145764124426
32,32,.1,.6,1,1,.86557086203926350611,1.2900854497316914,0.7764849310937422
256,256,.1,.6,1,1,.86557086203926350611,1.2900854497316914,0.7781051926157592
32,32,.1,.8,1,1,.87872062836489511124,1.5489046546774161,0.7955537731640528
256,256,.1,.8,1,1,.87872062836489511124,1.5489046546774161,0.7971989383885556
32,32,.3,.2,1,1,.60805959253518527969,0.5878586342322445,0.4492103151679992
256,256,.3,.2,1,1,.60805959253518527969,0.5878586342322445,0.44795080934093917
32,32,.3,.4,1,1,.64680094779150473197,0.6135552371596824,0.49260388969999713
256,256,.3,.4,1,1,.64680094779150473197,0.6135552371596824,0.49706964560630107
32,32,.3,.6,1,1,.67826148776065860618,0.634942347979899,0.5288186884333137
256,256,.3,.6,1,1,.67826148776065860618,0.634942347979899,0.5337122445818575
32,32,.3,.8,1,1,.70440474841517856563,0.6530352176213904,0.6158039121681104
256,256,.3,.8,1,1,.70440474841517856563,0.6530352176213904,0.6358727571090363
32,32,.5,.2,1,1,.45910855030021704440,0.49787224805985003,0.32607456746046926
256,256,.5,.2,1,1,.45910855030021704440,0.49787224805985003,0.3553211509371186
32,32,.5,.4,1,1,.50788078736589996887,0.5254762333540337,0.33269040757263324
256,256,.5,.4,1,1,.50788078736589996887,0.5254762333540337,0.35454456815046254
32,32,.5,.6,1,1,.54722580589161206446,0.5491797069017855,0.5329796251013129
256,256,.5,.6,1,1,.54722580589161206446,0.5491797069017855,0.5496433535438905
32,32,.5,.8,1,1,.58005694572596805271,0.7063824556187426,0.9242152632009656
256,256,.5,.8,1,1,.58005694572596805271,0.7063824556187426,0.9170528039525495
32,32,.7,.2,1,1,.35993022178322912836,0.4481573366572086,0.4420311750750834
256,256,.7,.2,1,1,.35993022178322912836,0.4481573366572086,0.4420724513987834
32,32,.7,.4,1,1,.39464171510821837900,0.46524830168819364,0.5543194812148184
