dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,18.684593200683594,9,1,0.07228803634643555,300,1,0.0888054370880127,300
32,1,0.1068868637084961,10,1,0.11787915229797363,1000,1,0.17349910736083984,1200
64,1,0.11657285690307617,10,1,0.24843621253967285,3900,1,5.7540435791015625,4700
128,1,0.15625691413879395,10,1,0.7209773063659668,15300,1,1.5131816864013672,18800
256,1,0.17337942123413086,10,1,6.8276379108428955,61000,1,13.58664059638977,75200
512,1,0.24413728713989258,10,1,95.06677222251892,243900,1,194.09471917152405,300600
1024,1,0.570854663848877,10,0,0.0,0,0,0.0,0
2048,1,1.7943193912506104,10,0,0.0,0,0,0.0,0
16,1,0.08242392539978027,9,1,0.05554461479187012,300,1,0.06896829605102539,300
32,1,0.10550808906555176,10,1,0.10985612869262695,1000,1,0.1652233600616455,1200
64,1,0.12703919410705566,10,1,0.24004292488098145,3900,1,0.4171609878540039,4700
128,1,0.14552021026611328,10,1,0.69809889793396,15300,1,1.4693589210510254,18800
256,1,0.17917799949645996,10,1,6.832732200622559,61000,1,13.594164371490479,75200
512,1,0.24425864219665527,10,1,95.02691626548767,243900,1,194.07640719413757,300600
1024,1,0.5584917068481445,10,0,0.0,0,0,0.0,0
2048,1,1.7937352657318115,10,0,0.0,0,0,0.0,0
16,1,0.08178424835205078,9,1,0.055245399475097656,300,1,0.06839442253112793,300
32,1,0.10560798645019531,10,1,0.1095433235168457,1000,1,0.16536235809326172,1200
64,1,0.12438631057739258,10,1,0.24103260040283203,3900,1,0.4183509349822998,4700
128,1,0.1451561450958252,10,1,0.7147648334503174,15300,1,1.4824838638305664,18800
256,1,0.1741492748260498,10,1,6.837607383728027,61000,1,13.592720746994019,75200
512,1,0.24245595932006836,10,1,95.03520679473877,243900,1,194.11198616027832,300600
1024,1,0.5565977096557617,10,0,0.0,0,0,0.0,0
2048,1,1.7893471717834473,10,0,0.0,0,0,0.0,0
16,1,0.08144688606262207,9,1,0.05497384071350098,300,1,0.06804752349853516,300
32,1,0.09779834747314453,10,1,0.10920000076293945,1000,1,0.1628274917602539,1200
64,1,0.12399935722351074,10,1,0.2399587631225586,3900,1,0.4156351089477539,4700
128,1,0.14632892608642578,10,1,0.7003545761108398,15300,1,1.4837276935577393,18800
256,1,0.16652584075927734,10,1,6.837778329849243,61000,1,13.593284606933594,75200
512,1,0.24311161041259766,10,1,95.02523303031921,243900,1,193.65100002288818,300600
1024,1,0.5621280670166016,10,0,0.0,0,0,0.0,0
2048,1,1.7817254066467285,10,0,0.0,0,0,0.0,0
16,1,0.08218789100646973,9,1,0.055226802825927734,300,1,0.06849050521850586,300
32,1,0.10480189323425293,10,1,0.10969948768615723,1000,1,0.16583633422851562,1200
64,1,0.1292743682861328,10,1,0.2432560920715332,3900,1,0.4230067729949951,4700
128,1,0.13643574714660645,10,1,0.7000811100006104,15300,1,1.4776687622070312,18800
256,1,0.17542767524719238,10,1,6.815255880355835,61000,1,13.592897176742554,75200
512,1,0.24049663543701172,10,1,95.02599453926086,243900,1,193.6452763080597,300600
1024,1,0.5675082206726074,10,0,0.0,0,0,0.0,0
2048,1,1.7839527130126953,10,0,0.0,0,0,0.0,0
