dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,19.196176767349243,7,1,0.06884479522705078,200,1,0.08160567283630371,200
32,1,0.09589576721191406,8,1,0.09239411354064941,600,1,0.1271228790283203,700
64,1,0.11618900299072266,8,1,0.16990399360656738,2200,1,5.69725489616394,2700
128,1,0.12740349769592285,8,1,0.42632246017456055,8700,1,0.8728539943695068,10700
256,1,0.16917920112609863,8,1,3.9560487270355225,34800,1,7.799174785614014,42900
512,1,0.21741199493408203,8,1,54.237730503082275,139000,1,110.49682998657227,171400
1024,1,0.4981808662414551,8,0,0.0,0,0,0.0,0
2048,1,1.474776268005371,8,0,0.0,0,0,0.0,0
16,1,0.07089948654174805,7,1,0.05137777328491211,200,1,0.06048011779785156,200
32,1,0.0973203182220459,8,1,0.0928802490234375,600,1,0.12693262100219727,700
64,1,0.10816740989685059,8,1,0.16913366317749023,2200,1,0.2628021240234375,2700
128,1,0.13371872901916504,8,1,0.42352867126464844,8700,1,0.8712468147277832,10700
256,1,0.1575014591217041,8,1,3.951826572418213,34800,1,7.797530889511108,42900
512,1,0.21547412872314453,8,1,54.216819286346436,139000,1,110.49354887008667,171400
1024,1,0.47551417350769043,8,0,0.0,0,0,0.0,0
2048,1,1.4783985614776611,8,0,0.0,0,0,0.0,0
16,1,0.07116341590881348,7,1,0.05134725570678711,200,1,0.06413769721984863,200
32,1,0.09202909469604492,8,1,0.09238791465759277,600,1,0.1270890235900879,700
64,1,0.11479544639587402,8,1,0.16965532302856445,2200,1,0.26602983474731445,2700
128,1,0.13309025764465332,8,1,0.4227311611175537,8700,1,0.863776445388794,10700
256,1,0.1719646453857422,8,1,3.967233657836914,34800,1,7.800619602203369,42900
512,1,0.21690917015075684,8,1,54.202609062194824,139000,1,110.50799584388733,171400
1024,1,0.4929649829864502,8,0,0.0,0,0,0.0,0
2048,1,1.4803743362426758,8,0,0.0,0,0,0.0,0
16,1,0.07636165618896484,7,1,0.05683755874633789,200,1,0.06170058250427246,200
32,1,0.0940549373626709,8,1,0.09542369842529297,600,1,0.13167691230773926,700
64,1,0.12359166145324707,8,1,0.1871047019958496,2200,1,0.2973036766052246,2700
128,1,0.12476897239685059,8,1,0.4206826686859131,8700,1,0.8657853603363037,10700
256,1,0.15192699432373047,8,1,3.9435300827026367,34800,1,7.796374320983887,42900
512,1,0.21817874908447266,8,1,54.20499300956726,139000,1,110.66201663017273,171400
1024,1,0.4851832389831543,8,0,0.0,0,0,0.0,0
2048,1,1.478513479232788,8,0,0.0,0,0,0.0,0
16,1,0.0729985237121582,7,1,0.05172276496887207,200,1,0.06127595901489258,200
32,1,0.09636998176574707,8,1,0.09242939949035645,600,1,0.1267716884613037,700
64,1,0.1143026351928711,8,1,0.16825056076049805,2200,1,0.26626133918762207,2700
128,1,0.13323473930358887,8,1,0.42589235305786133,8700,1,0.8713798522949219,10700
256,1,0.15291047096252441,8,1,3.9492392539978027,34800,1,7.804404020309448,42900
512,1,0.21787190437316895,8,1,54.1954562664032,139000,1,110.49430179595947,171400
1024,1,0.4775514602661133,8,0,0.0,0,0,0.0,0
2048,1,1.476653814315796,8,0,0.0,0,0,0.0,0
