dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,0.10329389572143555,16,1,0.06388449668884277,500,1,0.09041357040405273,600
32,1,0.1421494483947754,17,1,0.16155314445495605,1900,1,0.24767374992370605,2300
64,1,0.16265225410461426,18,1,0.38657402992248535,7300,1,0.7404959201812744,9000
128,1,0.1914384365081787,18,1,1.2759895324707031,29200,1,2.755082845687866,36000
256,1,0.23399710655212402,18,1,12.94269061088562,116700,1,25.919105768203735,143800
512,1,0.3388364315032959,18,1,181.7629234790802,466800,0,322.7194128036499,499999
1024,1,0.8817665576934814,18,0,0.0,0,0,0.0,0
2048,1,3.0317742824554443,18,0,0.0,0,0,0.0,0
16,1,0.09655380249023438,16,1,0.06345438957214355,500,1,0.09017133712768555,600
32,1,0.136582612991333,17,1,0.1457076072692871,1900,1,0.24370598793029785,2300
64,1,0.16306686401367188,18,1,0.3812854290008545,7300,1,0.7450728416442871,9000
128,1,0.18712449073791504,18,1,1.2966418266296387,29200,1,2.78818941116333,36000
256,1,0.21961569786071777,18,1,12.919037818908691,116700,1,25.891819953918457,143800
512,1,0.3463704586029053,18,1,181.77788615226746,466800,0,322.73431611061096,499999
1024,1,0.8848841190338135,18,0,0.0,0,0,0.0,0
2048,1,3.043627977371216,18,0,0.0,0,0,0.0,0
16,1,0.10512423515319824,16,1,0.0632321834564209,500,1,0.08992958068847656,600
32,1,0.13373541831970215,17,1,0.14660191535949707,1900,1,0.24681735038757324,2300
64,1,0.1522810459136963,18,1,0.379025936126709,7300,1,0.7412362098693848,9000
128,1,0.18824052810668945,18,1,1.2718191146850586,29200,1,2.775667667388916,36000
256,1,0.23439908027648926,18,1,12.928594589233398,116700,1,25.95544672012329,143800
512,1,0.3348681926727295,18,1,181.7828471660614,466800,0,322.01060962677,499999
1024,1,0.8778886795043945,18,0,0.0,0,0,0.0,0
2048,1,3.024221897125244,18,0,0.0,0,0,0.0,0
16,1,0.10236191749572754,16,1,0.06302285194396973,500,1,0.08977150917053223,600
32,1,0.1348743438720703,17,1,0.14618325233459473,1900,1,0.24843716621398926,2300
64,1,0.15035510063171387,18,1,0.3776588439941406,7300,1,0.741732120513916,9000
128,1,0.19049930572509766,18,1,1.2967627048492432,29200,1,2.8015198707580566,36000
256,1,0.22322845458984375,18,1,12.92127776145935,116700,1,25.90081214904785,143800
512,1,0.3476686477661133,18,1,181.79005789756775,466800,0,322.7372376918793,499999
1024,1,0.8798706531524658,18,0,0.0,0,0,0.0,0
2048,1,3.0273125171661377,18,0,0.0,0,0,0.0,0
16,1,0.10402321815490723,16,1,0.06313157081604004,500,1,0.0910494327545166,600
32,1,0.12375593185424805,17,1,0.14625072479248047,1900,1,0.24523138999938965,2300
64,1,0.16230416297912598,18,1,0.38079261779785156,7300,1,0.7387166023254395,9000
128,1,0.17455148696899414,18,1,1.2873454093933105,29200,1,2.797569513320923,36000
256,1,0.23011279106140137,18,1,12.916479587554932,116700,1,25.913081645965576,143800
512,1,0.33809947967529297,18,1,181.74704337120056,466800,0,322.72566747665405,499999
1024,1,0.8899965286254883,18,0,0.0,0,0,0.0,0
2048,1,3.0276896953582764,18,0,0.0,0,0,0.0,0
