dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,10.354156017303467,10,1,17.797258853912354,300,1,0.04616403579711914,300
32,1,0.11811590194702148,10,1,0.055173635482788086,900,1,0.10590648651123047,1100
64,1,0.1566448211669922,11,1,0.16710543632507324,3600,1,0.35549354553222656,4400
128,1,0.18434786796569824,11,1,0.6141684055328369,14200,1,1.3611130714416504,17500
256,1,0.21778059005737305,11,1,6.268929719924927,56600,1,12.535606384277344,69800
512,1,0.28645968437194824,11,1,88.0656943321228,226200,1,180.15147352218628,278900
1024,1,0.5345673561096191,11,0,0.0,0,0,0.0,0
2048,1,1.4068231582641602,11,0,0.0,0,0,0.0,0
16,1,0.09735441207885742,10,1,0.029897212982177734,300,1,0.04510784149169922,300
32,1,0.1246938705444336,10,1,0.05503034591674805,900,1,0.1061863899230957,1100
64,1,0.15440702438354492,11,1,0.1670069694519043,3600,1,0.35266613960266113,4400
128,1,0.18635201454162598,11,1,0.6131839752197266,14200,1,1.3353769779205322,17500
256,1,0.1986675262451172,11,1,6.243958234786987,56600,1,12.536900997161865,69800
512,1,0.28513526916503906,11,1,88.04829955101013,226200,1,180.1455008983612,278900
1024,1,0.5406184196472168,11,0,0.0,0,0,0.0,0
2048,1,1.3858168125152588,11,0,0.0,0,0,0.0,0
16,1,0.09617400169372559,10,1,0.02985692024230957,300,1,0.04493379592895508,300
32,1,0.11013269424438477,10,1,0.05532240867614746,900,1,0.10669994354248047,1100
64,1,0.15553832054138184,11,1,0.1688847541809082,3600,1,0.3561210632324219,4400
128,1,0.1852872371673584,11,1,0.6104369163513184,14200,1,1.3434557914733887,17500
256,1,0.2192847728729248,11,1,6.250307083129883,56600,1,12.539087295532227,69800
512,1,0.2818031311035156,11,1,88.05421924591064,226200,1,179.78061032295227,278900
1024,1,0.542510986328125,11,0,0.0,0,0,0.0,0
2048,1,1.398149013519287,11,0,0.0,0,0,0.0,0
16,1,0.09837126731872559,10,1,0.03032231330871582,300,1,0.04531502723693848,300
32,1,0.11721491813659668,10,1,0.055585622787475586,900,1,0.10680246353149414,1100
64,1,0.15611863136291504,11,1,0.1670067310333252,3600,1,0.3491065502166748,4400
128,1,0.1850900650024414,11,1,0.6128530502319336,14200,1,1.3402488231658936,17500
256,1,0.22170162200927734,11,1,6.259385347366333,56600,1,12.535935640335083,69800
512,1,0.27891993522644043,11,1,88.1300437450409,226200,1,179.76375937461853,278900
1024,1,0.5341861248016357,11,0,0.0,0,0,0.0,0
2048,1,1.3872034549713135,11,0,0.0,0,0,0.0,0
16,1,0.09739255905151367,10,1,0.030508995056152344,300,1,0.045644521713256836,300
32,1,0.11579084396362305,10,1,0.05564475059509277,900,1,0.10639023780822754,1100
64,1,0.14974045753479004,11,1,0.1687607765197754,3600,1,0.35706400871276855,4400
128,1,0.17999625205993652,11,1,0.6333458423614502,14200,1,1.3456737995147705,17500
256,1,0.20981574058532715,11,1,6.246684789657593,56600,1,12.536619186401367,69800
512,1,0.2841916084289551,11,1,88.05583214759827,226200,1,179.77226638793945,278900
1024,1,0.5127542018890381,11,0,0.0,0,0,0.0,0
2048,1,1.3923742771148682,11,0,0.0,0,0,0.0,0
