dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,10.389535903930664,9,1,18.26485514640808,300,1,0.047069549560546875,300
32,1,0.1142117977142334,10,1,0.05908823013305664,1000,1,0.11291790008544922,1200
64,1,0.13542604446411133,10,1,0.17926406860351562,3900,1,0.37685728073120117,4700
128,1,0.18127155303955078,10,1,0.6577363014221191,15300,1,1.4435930252075195,18800
256,1,0.20701861381530762,10,1,6.751396894454956,61000,1,13.509917259216309,75200
512,1,0.28026843070983887,10,1,94.9322612285614,243900,1,193.77103424072266,300600
1024,1,0.49011659622192383,10,0,0.0,0,0,0.0,0
2048,1,1.3036630153656006,10,0,0.0,0,0,0.0,0
16,1,0.08878684043884277,9,1,0.030202627182006836,300,1,0.04577136039733887,300
32,1,0.12704801559448242,10,1,0.06642627716064453,1000,1,0.11520504951477051,1200
64,1,0.13384580612182617,10,1,0.17932343482971191,3900,1,0.372560977935791,4700
128,1,0.16023659706115723,10,1,0.6536099910736084,15300,1,1.426736831665039,18800
256,1,0.19148516654968262,10,1,6.74762225151062,61000,1,13.50330376625061,75200
512,1,0.2764120101928711,10,1,94.94610476493835,243900,1,193.76411032676697,300600
1024,1,0.48479437828063965,10,0,0.0,0,0,0.0,0
2048,1,1.2906033992767334,10,0,0.0,0,0,0.0,0
16,1,0.09557700157165527,9,1,0.03004908561706543,300,1,0.04547572135925293,300
32,1,0.11619281768798828,10,1,0.060141801834106445,1000,1,0.11430025100708008,1200
64,1,0.15110301971435547,10,1,0.179274320602417,3900,1,0.3779265880584717,4700
128,1,0.17761635780334473,10,1,0.6584386825561523,15300,1,1.4417610168457031,18800
256,1,0.19783449172973633,10,1,6.756124496459961,61000,1,13.51003646850586,75200
512,1,0.255800724029541,10,1,94.93597888946533,243900,1,193.73077130317688,300600
1024,1,0.5135176181793213,10,0,0.0,0,0,0.0,0
2048,1,1.2968082427978516,10,0,0.0,0,0,0.0,0
16,1,0.09433317184448242,9,1,0.030441761016845703,300,1,0.04517102241516113,300
32,1,0.12234735488891602,10,1,0.05973315238952637,1000,1,0.11417055130004883,1200
64,1,0.14610838890075684,10,1,0.17903661727905273,3900,1,0.3719921112060547,4700
128,1,0.1797924041748047,10,1,0.6563434600830078,15300,1,1.4411170482635498,18800
256,1,0.21298956871032715,10,1,6.727821588516235,61000,1,13.505783319473267,75200
512,1,0.27683115005493164,10,1,94.9349684715271,243900,1,193.7405915260315,300600
1024,1,0.51230788230896,10,0,0.0,0,0,0.0,0
2048,1,1.3091719150543213,10,0,0.0,0,0,0.0,0
16,1,0.08726215362548828,9,1,0.03050971031188965,300,1,0.045188188552856445,300
32,1,0.1164696216583252,10,1,0.05911421775817871,1000,1,0.11262631416320801,1200
64,1,0.13412761688232422,10,1,0.17941522598266602,3900,1,0.37199902534484863,4700
128,1,0.17476201057434082,10,1,0.6610877513885498,15300,1,1.462796688079834,18800
256,1,0.21181988716125488,10,1,6.753597974777222,61000,1,13.510466575622559,75200
512,1,0.26755666732788086,10,1,94.94055032730103,243900,1,193.77493262290955,300600
1024,1,0.4900684356689453,10,0,0.0,0,0,0.0,0
2048,1,1.282836675643921,10,0,0.0,0,0,0.0,0
