dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,9.581835985183716,19,1,21.84238624572754,400,1,0.06139230728149414,500
32,1,0.1521589756011963,21,1,0.07603001594543457,1400,1,0.15143680572509766,1700
64,1,0.18113183975219727,21,1,0.24667835235595703,5500,1,0.5239031314849854,6700
128,1,0.22257781028747559,22,1,0.9243698120117188,21700,1,2.037651538848877,26700
256,1,0.27044034004211426,22,1,9.550868511199951,86500,1,19.154008388519287,106600
512,1,0.37394142150878906,22,1,134.61395835876465,345900,1,274.87209963798523,426500
1024,1,0.7911505699157715,22,0,0.0,0,0,0.0,0
2048,1,2.4653537273406982,22,0,0.0,0,0,0.0,0
16,1,0.11356806755065918,19,1,0.034314870834350586,400,1,0.05979728698730469,500
32,1,0.15267324447631836,21,1,0.07614874839782715,1400,1,0.15154814720153809,1700
64,1,0.1861281394958496,21,1,0.25455474853515625,5500,1,0.5316371917724609,6700
128,1,0.21451497077941895,22,1,0.9167544841766357,21700,1,2.0260047912597656,26700
256,1,0.2711923122406006,22,1,9.542558193206787,86500,1,19.139151573181152,106600
512,1,0.3779759407043457,22,1,134.62403202056885,345900,1,274.84713864326477,426500
1024,1,0.8117468357086182,22,0,0.0,0,0,0.0,0
2048,1,2.4770877361297607,22,0,0.0,0,0,0.0,0
16,1,0.11308097839355469,19,1,0.03433632850646973,400,1,0.059914350509643555,500
32,1,0.15248703956604004,21,1,0.07622528076171875,1400,1,0.15276122093200684,1700
64,1,0.16280388832092285,21,1,0.24701881408691406,5500,1,0.5243618488311768,6700
128,1,0.2220008373260498,22,1,0.938636302947998,21700,1,2.097790479660034,26700
256,1,0.24176287651062012,22,1,9.52902364730835,86500,1,19.14501667022705,106600
512,1,0.37792158126831055,22,1,134.63187503814697,345900,1,274.88445520401,426500
1024,1,0.8023900985717773,22,0,0.0,0,0,0.0,0
2048,1,2.470089912414551,22,0,0.0,0,0,0.0,0
16,1,0.10175657272338867,19,1,0.03417038917541504,400,1,0.05978965759277344,500
32,1,0.1502070426940918,21,1,0.07631397247314453,1400,1,0.15160775184631348,1700
64,1,0.17045283317565918,21,1,0.24703216552734375,5500,1,0.5301201343536377,6700
128,1,0.21919584274291992,22,1,0.9203684329986572,21700,1,2.0388588905334473,26700
256,1,0.27071475982666016,22,1,9.536207675933838,86500,1,19.136390209197998,106600
512,1,0.3704063892364502,22,1,134.62615132331848,345900,1,274.88490557670593,426500
1024,1,0.8004858493804932,22,0,0.0,0,0,0.0,0
2048,1,2.4911584854125977,22,0,0.0,0,0,0.0,0
16,1,0.11706304550170898,19,1,0.03445935249328613,400,1,0.06000113487243652,500
32,1,0.15337872505187988,21,1,0.07639694213867188,1400,1,0.1519167423248291,1700
64,1,0.18851089477539062,21,1,0.24904656410217285,5500,1,0.5304207801818848,6700
128,1,0.21991348266601562,22,1,0.9292447566986084,21700,1,2.050571918487549,26700
256,1,0.26910853385925293,22,1,9.52445101737976,86500,1,19.134857416152954,106600
512,1,0.3580775260925293,22,1,134.61935830116272,345900,1,274.8707699775696,426500
1024,1,0.8125026226043701,22,0,0.0,0,0,0.0,0
2048,1,2.465655565261841,22,0,0.0,0,0,0.0,0
